judul_berita,url_berita,tanggal_berita,source_domain,artikel_berita,status,error,is_empty
"Purbaya Tegaskan Data Ekonomi RI Tumbuh 5,12 Persen Bukan Manipulasi Ekonomi • 3 hari yang lalu",https://www.cnnindonesia.com/ekonomi/20250922162321-532-1276432/purbaya-tegaskan-data-ekonomi-ri-tumbuh-512-persen-bukan-manipulasi,2025-09-22T19:30:38+07:00,www.cnnindonesia.com,"CNN Indonesia
Senin, 22 Sep 2025 19:30 WIB
Jakarta, CNN Indonesia --
Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa memastikan pertumbuhan ekonomi Indonesia yang mencapai 5,12 persen pada kuartal II/2025 bukan hasil manipulasi Badan Pusat Statistik (BPS).
Menurutnya, data yang sajikan BPS memang mencerminkan ekonomi Indonesia. Ia justru mengatakan pihak yang meragukan data tersebut tidak mengerti soal ekonomi.
""Sebagian dari Anda anggap angka ini salah, 5,12 persen katanya lima tambah dua tambah satu (jadi) 8 (persen). Sebenarnya bukan itu. Triwulan kedua angkanya memang seperti itu, tidak ada manipulasi BPS. Kalau yang nyangka-nyangka itu ekonominya enggak berapa ngerti,"" kata Purbaya dalam Konferensi Pers APBN KiTA di Kementerian Keuangan, Jakarta Pusat, Senin (22/9).
Purbaya mengatakan pertumbuhan ekonomi bisa mencapai 5,12 persen karena laju pertumbuhan peredaran uang yang cukup kencang. Dengan demikian, mendorong belanja konsumen tumbuh kuat.
""Jadi lihat juga suplai uang pada waktu itu seperti apa,"" kata Purbaya.
Lebih lanjut, Purbaya mengatakan pertumbuhan ekonomi 5,12 persen mencerminkan ekonomi domestik yang terjaga. Ekonomi domestik ditopang oleh konsumsi rumah tangga yang tangguh, investasi yang meningkat, dan ekspor yang tetap kuat.
Kendati demikian, ia mengatakan ekonomi domestik masih dibayangi risiko global, termasuk perang dagang antara Amerika Serikat (AS) dengan China. Dinamika global masih jadi faktor risiko yang harus terus dipantau dan dimitigasi.
""Indeks ketidakpastian kebijakan global dalam tren menurun sejak April tahun lalu. Namun masih harus terus diwaspadai karena dinamika kebijakan tarif resiprokal AS masih sangat tinggi terutama dengan Tiongkok,"" imbuhnya.
Sebelumnya, BPS mengumumkan ekonomi Indonesia tumbuh 5,12 persen (yoy) pada kuartal II 2025. Ekonomi RI berdasarkan besaran produk domestik bruto (PDB) kuartal II 2025 atas dasar harga berlaku adalah Rp5.947 triliun dan atas dasar harga konstan Rp3.396,3 triliun.
Pertumbuhan itu setara 4,04 persen jika dibandingkan kuartal I 2025. Pada kuartal pertama 2025, ekonomi Indonesia tumbuh 4,87 persen (yoy).
Data itu diragukan sejumlah ekonom, termasuk ekonom dari Center of Economic and Law Studies (CELIOS) Nailul Huda. Ia menilai data itu janggal karena pertumbuhan ekonomi kuartal II lebih tinggi dibanding kuartal I yang mempunyai momentum Lebaran.
""Pengumuman pertumbuhan ekonomi triwulan II 2025 penuh kejanggalan dan tanda tanya publik. Saya tidak percaya dengan data yang disampaikan (BPS) mewakili kondisi ekonomi yang sebenarnya,"" kata Nailul kepada detikcom, Selasa (5/8/2025).
(fby/dhf) TOPIK TERKAIT
ARTIKEL
TERKAIT
TERKAIT
LAINNYA DI DETIKNETWORK",ok_trafilatura,,False
"InternasionalTetangga RI Geger Geng Judol Internasional, Transaksi Tembus Rp 63 TNews10 jam yang lalu",https://www.cnbcindonesia.com/news/20250925171706-4-670250/tetangga-ri-geger-geng-judol-internasional-transaksi-tembus-rp-63-t,2025-09-26T00:00:00+07:00,www.cnbcindonesia.com,"Tetangga RI Geger Geng Judol Internasional, Transaksi Tembus Rp 63 T
Jakarta, CNBC Indonesia - Vietnam digegerkan dengan geng judi online (judol) internasional dan kripto transnasional dengan transaksi tembus US$ 3,8 miliar (Rp63,61 triliun). Pengadilan Vietnam bahkan menjatuhkan hukuman kepada empat bersaudara dan puluhan orang lainnya karena kasus ini, Kamis (25/9/2025).
Hal ini dilaporkan oleh media pemerintah, Kamis (25/9/2025). Surat kabar Ho Chi Minh City's Law melaporkan bahwa anggota jaringan tersebut, yang dijalankan oleh empat bersaudara Vietnam, didakwa dengan tuduhan mengorganisasi dan berpartisipasi dalam perjudian daring antara awal 2020 hingga akhir 2021, saat mereka ditangkap oleh polisi.
""Pada akhir sidang dua hari di Kota Ho Chi Minh pada Rabu malam, empat bersaudara tersebut dijatuhi hukuman penjara antara delapan sampai 13 tahun,"" kata laporan tersebut, dikutip AFP.
""Tiga puluh sembilan terdakwa lainnya dijatuhi hukuman mulai dari tiga tahun dengan masa percobaan, hingga lebih dari 10 tahun penjara. Polisi Vietnam juga sedang berupaya menangkap seorang pria India yang diyakini sebagai dalang di balik jaringan tersebut.""
Kelompok kriminal itu menggunakan jutaan dolar dari keuntungan ilegal untuk membeli real estat dan mobil mewah di Vietnam, serta mencuci uang di luar negeri. Polisi telah membuka penyelidikan pencucian uang secara terpisah.
Jaringan kriminal itu juga merancang situs web untuk investasi berlapis menggunakan mata uang kripto, yang ilegal di Vietnam. Pengguna dapat membuka akun, mengubah dong Vietnam menjadi token digital seperti USDT dan Ethereum, dan mentransfernya ke dompet elektronik untuk digunakan dalam judi daring.
Pada puncaknya, jaringan ini memiliki 20.000 pengguna dengan sekitar 25 juta akun. Beberapa pengguna mendapatkan komisi dengan cara memancing penjudi lain melalui Telegram dan platform media sosial lainnya untuk bergabung dengan jaringan tersebut.
Penyedia layanan internet Vietnam telah memblokir Telegram sejak Juni setelah pihak berwenang memperingatkan adanya ""tanda-tanda pelanggaran hukum"" pada aplikasi pesan tersebut.
""Hingga 68% dari 9.600 saluran yang digunakan oleh orang Vietnam di Telegram mengandung informasi beracun dan buruk,"" kata Pemerintah Vietnam.
Media pemerintah melaporkan pada bulan Februari bahwa hampir 60 orang yang bekerja dalam sindikat penipuan kripto yang mencuri jutaan dolar dari warga negara Vietnam telah ditangkap di Kamboja dan Vietnam. Sindikat tersebut diduga memancing para korban untuk berinvestasi dalam mata uang kripto Bitcoin melalui aplikasi seluler, lalu mengambil uang mereka.
(tps/șef)
[Gambas:Video CNBC]
Next Article Polri Tangkap WN China Terkait Judol, Sita Rp 75 Miliar",ok_trafilatura,,False
Efek The Fed hingga Purbaya Bikin Rupiah Melemah Hari Ini,https://www.idntimes.com/business/economy/efek-the-fed-hingga-purbaya-bikin-rupiah-melemah-hari-ini-00-bvq5c-t3dqj3,2025-09-22T15:59:00+07:00,www.idntimes.com,"Efek The Fed hingga Purbaya Bikin Rupiah Melemah Hari Ini
- Ketegangan geopolitik global dan ekspektasi pemangkasan suku bunga The Fed memengaruhi pergerakan rupiah.
- Dinamika politik dalam negeri menimbulkan ketidakpastian di kalangan pelaku pasar, terutama akibat pernyataan politis dari pejabat pemerintah.
Jakarta, IDN Times - Nilai tukar atau kurs rupiah kembali melemah terhadap dolar Amerika Serikat (AS) dalam penutupan perdagangan awal pekan, Senin (22/9/2025).
Data Bloomberg mencatat, pada akhir sesi, rupiah berada di level Rp16.610,5 per dolar AS, melemah tipis 0,06 persen atau turun 9,5 poin dibandingkan hari sebelumnya di Rp16.601 per dolar AS.
Rupiah dibuka di level Rp16.631,5 per dolar AS. Sepanjang perdagangan hari ini, rupiah bergerak di kisaran Rp16.581,5 hingga Rp16.640 per dolar AS.
1. Geopolitik global ikut tekan rupiah
Pengamat Pasar Uang, Ibrahim Assuaibi, mengatakan, pelemahan rupiah kali ini disebabkan oleh kombinasi faktor eksternal dan internal. Dari sisi eksternal, ketegangan geopolitik global masih menjadi perhatian utama pasar.
Menurut Ibrahim, konflik Rusia-Ukraina yang belum mereda serta situasi di Timur Tengah yang semakin panas jelang Sidang Umum PBB membuat investor memilih dolar AS sebagai aset aman (safe haven).
Selain itu, ekspektasi pemangkasan suku bunga oleh bank sentral Amerika Serikat (The Fed) pada Oktober sebesar 25 basis poin juga ikut memengaruhi pergerakan rupiah.
Dia mengatakan, sejumlah ekonom memperkirakan peluang pemangkasan suku bunga mencapai 80 persen. Bahkan, salah satu pejabat The Fed, Neel Kashkari, mulai memberi sinyal bahwa waktu saat ini tepat untuk memangkas suku bunga.
""Nah itu yang membuat secara eksternal harga mata uang rupiah mengalami pelemahan,"" ujar Ibrahim.
2. Faktor politik domestik juga membebani
Dinamika politik dalam negeri yang juga menekan pergerakan rupiah. Pernyataan-pernyataan politis yang kerap disampaikan pejabat pemerintah, khususnya yang seharusnya fokus pada masalah fiskal, menimbulkan ketidakpastian di kalangan pelaku pasar.
""Purbaya (Menteri Keuangan) sering memberikan statement-statement yang berbau politis yang ini sebenarnya sangat dibenci oleh para pelaku pasar,"" kata dia.
Komentar-komentar politis dari pejabat yang mengurusi keuangan negara dianggap tidak memberikan solusi konkret terhadap tantangan ekonomi, melainkan memperkeruh suasana politik.
""Tapi saat ini kebanyakan Purbaya adalah memberikan solusi-solusi secara politik. Ini yang sangat disayangkan oleh pasar sehingga mata uang rupiah kembali lagi mengalami pelemahan,"" kata dia.
3. Proyeksi pergerakan rupiah pada Selasa
Dalam 52 minggu terakhir, rupiah tercatat bergerak di rentang Rp15.065 hingga Rp17.224 per dolar AS. Sementara itu, secara year-to-date (YTD) atau sejak awal tahun, rupiah masih mencatatkan pelemahan sebesar 2,97 persen.
Lebih lanjut, Ibrahim memperkirakan rupiah masih berpotensi melemah pada perdagangan Selasa (23/9/2025). Dia menyebut level support rupiah berada di Rp16.600 per dolar AS, sedangkan level resistance diperkirakan di Rp16.650 per dolar AS.",ok_trafilatura,,False
"Gunung Lewotobi Laki-Laki Meletus, Waspada Abu Vulkanik",https://news.okezone.com/read/2025/09/26/340/3172541/gunung-lewotobi-laki-laki-meletus-waspada-abu-vulkanik,"Nusantara | Jum'at, 26 September 2025 07:41 WIB Gunung Lewotobi Laki-Laki Meletus, Waspada Abu Vulkanik",news.okezone.com,"Gunung Lewotobi Laki-Laki (Foto: Binti M/Okezone)
JAKARTA – Gunung Lewotobi Laki-Laki erupsi pada Jumat 26 September 2025, pukul 06.32 WITA. Tinggi kolom abu teramati sekira 1.000 meter di atas puncak.
“Terjadi erupsi G. Lewotobi Laki-laki pada hari Jumat, 26 September 2025, pukul 06.32 WITA dengan tinggi kolom abu teramati ± 1.000 m di atas puncak (± 2.584 m di atas permukaan laut),” ungkap Petugas Pos Pengamatan Gunung Api, Herman S. Mboro.
Gunung Api Lewotobi Laki-Laki terletak di Kab/Kota Flores Timur, Nusa Tenggara Timur dengan posisi geografis di Latitude -8.5389°LU, Longitude 122.7682°BT dan memiliki ketinggian 1.584 mdpl.
Herman melaporkan kolom abu teramati berwarna kelabu dengan intensitas tebal ke arah barat daya. Erupsi ini terekam di seismograf dengan amplitudo maksimum 29,6 mm dan durasi 76 detik.
Saat ini, Gunung Lewotobi Laki-laki berada pada Status Level IV (Awas) dengan rekomendasi agar masyarakat di sekitar Gunung Lewotobi Laki-laki dan pengunjung/wisatawan tidak melakukan aktivitas apa pun dalam radius 6 km dan sektoral barat daya–timur laut 7 km dari pusat erupsi Gunung Lewotobi Laki-laki.
Herman juga meminta masyarakat di sekitar Gunung Lewotobi Laki-Laki mewaspadai potensi banjir lahar hujan pada sungai-sungai yang berhulu di puncak Gunung Lewotobi Laki-Laki jika terjadi hujan dengan intensitas tinggi.
“Masyarakat yang terdampak hujan abu G. Lewotobi Laki-Laki memakai masker atau penutup hidung-mulut untuk menghindari bahaya abu vulkanik pada sistem pernapasan,” ujarnya.
(Arief Setyadi )
Follow WhatsApp Channel Okezone untuk update berita terbaru setiap hari
Follow
Topik Artikel :
Berita Terkait
Telusuri berita news lainnya
Terpopuler",ok_trafilatura,,False
"IHSG Anjlok 1%, Net Sell Tembus Rp 1 Triliun, Saham Ini Jadi SasaranMarket1 jam yang lalu",https://www.cnbcindonesia.com/market/20250925201238-17-670302/ihsg-anjlok-1-net-sell-tembus-rp-1-triliun-saham-ini-jadi-sasaran,2025-09-26T00:00:00+07:00,www.cnbcindonesia.com,"IHSG Anjlok 1%, Net Sell Tembus Rp 1 Triliun, Saham Ini Jadi Sasaran
Jakarta, CNBC Indonesia — Investor asing banyak keluar dari pasar modal kemarin, Kamis (25/9/2025). Asing membukukan beli Rp 8,49 triliun dan jual Rp 9,5 triliun, sehingga mencatat net foreign sell Rp 1 triliun.
Aneka Tambang (ANTM) kembali menjadi saham yang paling banyak dilepas asing. Net sell di emiten tambang emas dan nikel tersebut mencapai Rp 453,7 miliar dengan rata-rata harga jual Rp 3.247,7.
Seiring dengan aksi jual asing tersebut, saham ANTM mengalami koreksi 8,65% ke level 3.170.
Selanjutnya BCA (BBCA) juga kembali menjadi saham dengan net sell terbesar kedua. Asing jual bersih Rp 222,1 miliar saham BBCA dengan rata-rata harga 7.719.
BBCA melanjutkan koreksi dengan penurunan 0,96% ke level 7.700.
Selengkapnya berikut 10 saham dengan net foreign sell terbesar pada perdagangan kemarin:
- PT Aneka Tambang Tbk (ANTM): Rp 453,7 miliar
- PT Bank Central Asia Tbk (BBCA): Rp 222,1 miliar
- PT Merdeka Copper Gold Tbk (MDKA): Rp 194,1 miliar
- PT Barito Pacific Tbk (BRPT): Rp 146,9 miliar
- PT Amman Mineral Internasional Tbk (AMMN): Rp 109,1 miliar
- PT Bank Rakyat Indonesia (Persero) Tbk (BBRI): Rp 93,3 miliar
- PT Petrosea Tbk (PTRO): Rp 61,7 miliar
- PT Fast Food Indonesia Tbk (FAST): Rp 42,7 miliar
- PT Dian Swastatika Sentosa Tbk (DSSA): Rp 38,4 miliar
- PT Solusi Sinergi Digital Tbk (WIFI): Rp 37,5 miliar
Sementara itu, Indeks Harga Saham Gabungan (IHSG) tiba-tiba merosot 1% lebih pada Kamis (25/9/2025). Indeks turun 85,89 poin ke level 8.040,66 pada penutupan perdagangan. Sebanyak 434 saham turun, 242 naik, dan 123 saham tidak bergerak.
Mayoritas sektor perdagangan melemah dengan koreksi terbesar dicatatkan oleh sektor barang baku, teknologi dan finansial. Kenaikan terbesar dicatatkan oleh sektor konsumer primer dan properti.
Saham emiten raksasa kapitalisasi besar tercatat menjadi pemberat kinerja IHSG.
(mkh/mkh)
[Gambas:Video CNBC]
Next Article IHSG Merah Awal Pekan, Asing Kompak Lepas Saham Tambang",ok_trafilatura,,False
"Sempat Kritik Keterlibatan TNI dalam MBG, Ketua Komisi D DPRD Blora Minta Maaf ke Komandan Kodim",https://www.tribunnews.com/regional/7733135/sempat-kritik-keterlibatan-tni-dalam-mbg-ketua-komisi-d-dprd-blora-minta-maaf-ke-komandan-kodim,2025-09-24T21:30:00+07:00,www.tribunnews.com,"TRIBUNNEWS.COM, BLORA - Ketua Komisi D DPRD Blora, Subroto sempat menyinggung keterlibatan TNI dalam pelaksanaan program makan bergizi gratis (MGB) di Kabupaten Blora , Jawa Tengah .
Kritik Subroto tersebut berujung permintaan maaf kepada Komandan Kodim (Dandim) 0721/Blora, Letkol Inf Agung Cahyono.
Hal itu disampaikan Subroto usai pertemuan terbatas dengan Bupati Blora Arief Rohman, Letkol Inf Agung Cahyono, dan Ketua DPRD Blora Mustopa, di Ruang Tamu Bupati, Rabu (24/9/2025).
""Kami mohon maaf karena keterbatasan kami sebagai warga sipil yang tidak tahu dengan Undang-Undang TNI, sehingga ada ucapan kami yang tidak berkenan di hati saudara-saudara sekalian, terutama di hati TNI, kami mohon maaf sebesar-besarnya,"" jelasnya.
Subroto juga merespons, saat ditanya terkait apakah akan menarik pernyataan sebelumnya, soal tugas TNI hanya perang, dan mempertanyakan keterlibatan TNI dalam program MBG.
""Ya itu karena keteledoran kami, karena kami tidak paham Undang-Undang TNI, karena memang di dalam pemikiran kami bahwa TNI (tugasnya-red) pasti hanya bicara perang,"" jelasnya.
Selain meminta maaf, Subroto juga berpesan agar semuanya ikut mengawal program MBG yang saat ini sedang berjalan.
""Kami berpesan bahwa program yang kita kawal adalah program nasional, program unggulan dari Pak Presiden sehingga harapan kami ke depan anak-anak kami besok di tahun 2045 menjadi anak-anak yang luar biasa sebagai penerus generasi ke depan,"" terangnya.
Pernyataan Dandim
Dandim Letkol Inf Agung memaafkannya Subroto. Agung mengatakan dalam konferensi pers sebelumnya, pihaknya sudah menjelaskan bahwa TNI tidak membenci siapapun.
""Ya, mungkin hari ini sudah di klarifikasi sama beliaunya. Beliau minta maaf atas kesalahpahaman ini,"" jelasnya.
Agung mengajak semuanya agar kembali bergandengan tangan turut mensukseskan program-program dari pemerintah.
""Dan kita ingin ke depan kita bersama-sama mensukseskan seluruh program yang ada di pemerintahan dari pemerintah pusat maupun daerah.""
""Jadi, semuanya kita bersama-sama sesuai dengan bidang kita masing-masing. Semuanya pasti ada sangkut pautnya, ada kewenangannya,"" jelasnya.
Pihaknya juga mengatakan telah memaafkan Ketua Komisi D DPRD Blora.
""Kita dari TNI, menerima permintaan maaf dari Pak Broto. Ke depan kita sama-sama bergandengan tangan, bersinergi, berkolaborasi untuk memajukan program-program yang ada di sini,"" jelasnya.
Kritik Keterlibatan TNI",ok_site_specific,,False
BMKG Prakirakan Cuaca Jakarta Cerah Berawan Sepanjang Hari Ini,https://news.okezone.com/read/2025/09/26/338/3172529/bmkg-prakirakan-cuaca-jakarta-cerah-berawan-sepanjang-hari-ini,2025-09-26T05:20:00+07:00,news.okezone.com,"Ilustrasi cuaca (Foto: Dok Okezone)
JAKARTA - Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) memprakirakan cuaca Jakarta cerah berawan sepanjang hari ini, Jumat (26/9/2025).
""Pagi hari cerah berawan, siang hari cerah berawan, malam hari cerah berawan,"" tulis ikhtisar prakiraan cuaca BMKG.
Namun, berdasarkan ikhtisar prakiraan cuaca secara nasional sejumlah wilayah di Indonesia berpotensi hujan sedang-lebat seperti di sebagian Sumatera, Jawa, hingga Kalimantan.
- Waspada (hujan sedang - lebat)
Untuk wilayah Aceh, Sumatera Utara, Sumatera Barat, Riau, Jambi, Bengkulu, Banten, Jawa Barat, Nusa Tenggara Barat, Kalimantan Tengah, Kalimantan Timur, Kalimantan Selatan, Sulawesi Tenggara, Papua Barat Daya, Papua Barat, Papua, dan Papua Selatan.
Follow WhatsApp Channel Okezone untuk update berita terbaru setiap hari
Follow
Topik Artikel :
Berita Terkait
Telusuri berita news lainnya
Terpopuler",ok_trafilatura,,False
Purbaya Akan Naikkan Jatah Anggaran Daerah Usai PBB Naik Selangit Ekonomi • 2 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250911185023-532-1272721/purbaya-akan-naikkan-jatah-anggaran-daerah-usai-pbb-naik-selangit,2025-09-11T19:22:47+07:00,www.cnnindonesia.com,"CNN Indonesia
Kamis, 11 Sep 2025 19:22 WIB
Jakarta, CNN Indonesia --
Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa akan menaikkan anggaran Transfer ke Daerah (TKD) tahun 2026 setelah ramai beberapa pemerintah daerah (pemda) menaikkan pajak bumi dan bangunan (PBB) ratusan persen.
Ia menyampaikan peningkatan TKD dilakukan karena sejumlah pemda mempermasalahkan anggaran mereka yang dipotong. Rencana ini, ucapnya, sedang dibahas dengan DPR.
""Kemarin daerah-daerah ribut karena anggarannya terlalu terpotong banyak sehingga mereka menaikkan PBB jadi enggak kira-kira. Kita menjaga hal itu, nanti saya dengan Pak Misbakhun (Ketua Komisi XI), mungkin akan memberi pelonggaran sedikit kepada transfer ke daerah,"" kata Purbaya pada GREAT Lecture Transformasi Ekonomi Nasional: Pertumbuhan yang Inklusif Menuju 8 Persen di Hotel Bidakara, Jakarta, Kamis (11/9).
""Tujuannya supaya tadi, perasaan di daerah bisa dikendalikan sehingga keadaan tenang dan kita bisa membangun ekonominya dengan tenang,"" sambungnya.
Kendati demikian, Purbaya belum bisa memastikan berapa besar kenaikan anggaran TKD. Besarannya masih akan dibahas dengan Komisi XI DPR.
""Ya akan ditingkatkan. Belum (ada angka pasti). Ini akan diusulkan sama Komisi IX,"" katanya.
Dalam Buku II Nota Keuangan Beserta RAPBN 2026, anggaran TKD dipatok sebesar Rp650 triliun. Jumlah tersebut turun Rp214 triliun dibandingkan outlook 2025 sebesar Rp864,1 triliun.
Sementara itu, sejumlah daerah memang menaikkan PBB-P2 beberapa waktu lalu. Kebijakan ini justru memicu gelombang demonstrasi di berbagai daerah.
Salah satunya di Pati, Jawa Tengah. Demonstrasi digelar masyarakat usai kenaikan PBB-P2 hingga 250 persen. Namun, rencana tersebut dibatalkan setelah Presiden Prabowo Subianto menegur Bupati Pati Sudewo.
Meski batal, massa tetap menggelar aksi besar mengecam Sudewo. Massa aksi meminta Bupati Pati Sudewo mundur dari jabatannya.
Selain Pati, daerah lain yang juga menaikkan PPB-P2 Jombang, Jawa Timur. Salah satu warga Jombang bernama Heri Dwi Cahyono (61) mengaku terkejut ketika PBB tanah miliknya pada 2024 tiba-tiba naik 1.202 persen atau 12 kali lipat dibandingkan yang sudah dia bayarkan pada 2023.
(fby/dhf) TOPIK TERKAIT
ARTIKEL
TERKAIT
TERKAIT
LAINNYA DI DETIKNETWORK",ok_trafilatura,,False
Ternyata Ini Alasan KPK Belum Tetapkan Tersangka di Kasus Korupsi Kuota Haji,https://news.okezone.com/read/2025/09/26/337/3172524/ternyata-ini-alasan-kpk-belum-tetapkan-tersangka-di-kasus-korupsi-kuota-haji,2025-09-26T00:09:00+07:00,news.okezone.com,"Plt Deputi Penindakan dan Eksekusi KPK, Asep Guntur Rahayu
JAKARTA - Komisi Pemberantasan Korupsi (KPK) meminta masyarakat bersabar terkait penetapan tersangka dalam perkara dugaan korupsi penyelenggaraan haji tahun 2023-2024. KPK menegaskan proses penyidikan masih terus berjalan.
""Kemudian terkait dengan perkara haji, ini kapan diumumkan tersangkanya, sabar ya,"" kata Plt. Deputi Penindakan dan Eksekusi KPK, Asep Guntur Rahayu, Kamis (25/9/2025).
Salah satu alasan masih belum diumumkan pihak tersangka ialah terkait barang bukti yang belum sempurna.
Penyidik saat ini menghubungkan bukti-bukti aliran dana dari pihak travel termasuk hubungan pada perkara tersebut.
""Ada aliran dana dan lain-lainnya, itu belum sempurna. Sudah ada bukti, tapi masih terpisah-pisah,"" ujar dia.
Asep melanjutkan, KPK juga masih mencari informasi dan keterangan terkait penggunaan uang tersebut.
Sejauh ini, kata Asep, yang paling terang ialah alur perintah terkait perkara korupsi tersebut. ""Kalau alur perintahnya sudah jelas,"" tutur dia.
Sekadar informasi, KPK meningkatkan perkara dugaan korupsi penentuan kuota dan penyelenggaraan ibadah haji di Kementerian Agama tahun 2023-2024 ke penyidikan. Sebelumnya, dugaan korupsi ini masih ada di tahap penyelidikan.
Follow WhatsApp Channel Okezone untuk update berita terbaru setiap hari
Follow
Topik Artikel :
Berita Terkait
Telusuri berita news lainnya
Terpopuler",ok_trafilatura,,False
"InternasionalKapal Selam Nuklir AS Merapat ke Tetangga RI, Siap Perang Lawan China?News26 menit yang lalu",https://www.cnbcindonesia.com/news/20250926064523-4-670319/kapal-selam-nuklir-as-merapat-ke-tetangga-ri-siap-perang-lawan-china,2025-09-26T00:00:00+07:00,www.cnbcindonesia.com,"Kapal Selam Nuklir AS Merapat ke Tetangga RI, Siap Perang Lawan China?
Jakarta, CNBC Indonesia - Amerika Serikat (AS) kembali memamerkan kekuatan militernya di kawasan Asia-Pasifik. Kapal selam bertenaga nuklir USS Ohio merapat di Teluk Subic, Filipina, yang berbatasan langsung dengan Laut Cina Selatan. Langkah ini muncul di tengah meningkatnya ketegangan maritim antara Filipina dan China.
Submarine Group Seven, komando Angkatan Laut AS yang membawahi operasi kapal selam di Pasifik barat, mengonfirmasi kunjungan tersebut.
""USS Ohio mendukung Armada Ketujuh AS, armada bernomor terbesar yang dikerahkan ke garis depan, beroperasi bersama sekutu dan mitra dalam menjaga kawasan Indo-Pasifik yang bebas dan terbuka,"" kata pihak komando kepada Newsweek, dikutip Jumat (26/9/2025).
USS Ohio merupakan kapal selam berpeluru kendali kelas Ohio yang mampu meluncurkan hingga 154 rudal jelajah Tomahawk. Kehadirannya terjadi hanya beberapa pekan setelah kapal induk terbaru China, CNS Fujian, melakukan uji coba di lepas pantai Provinsi Hainan.
Analis angkatan laut asal Australia, Alex Luck, menilai keberadaan kapal selam AS tetap menjadi ancaman serius bagi China.
""Kemampuan kapal selam Amerika, menurut pandangan saya, tetap menjadi vektor ancaman utama bagi operasi angkatan laut China,"" ujarnya.
Foto yang dirilis Angkatan Laut AS menunjukkan Ohio baru saja menggelar latihan bersama Korps Marinir AS di Laut Filipina. Latihan itu disebut sebagai upaya memberikan ""opsi fleksibel, berposisi maju, dan respons cepat"" bagi komandan tempur AS di kawasan.
Sebelum berlabuh di Filipina, kapal selam tersebut sempat muncul di Guam pada April dan Brisbane, Australia, pada Juli lalu. Langkah ini mempertegas strategi Washington mempertahankan kehadiran militernya di gugusan pulau pertahanan di Pasifik barat, dengan Filipina sebagai salah satu titik utama.
Masih belum jelas apakah Ohio akan menggelar latihan bersama dengan militer Filipina. Namun, kunjungan ini dipandang sebagai sinyal komitmen AS memperkuat sekutunya di Asia Tenggara dalam menghadapi klaim sepihak Beijing di Laut China Selatan.
(luc/luc)
[Gambas:Video CNBC]
Next Article Militer AS dan Tetangga RI Satukan Kekuatan, Bikin China Uring-uringan",ok_trafilatura,,False
