judul_berita,penulis_berita,url_berita,media_online,tanggal_berita_dt,source_domain,artikel_berita,status,error,is_empty
"Pengendara Rela Tunggu Pasokan Bensin di SPBU Swasta, Yudi: Kalau Kepepet ya Terpaksa ke Pertamina",,https://www.tribunnews.com/metropolitan/7731623/pengendara-rela-tunggu-pasokan-bensin-di-spbu-swasta-yudi-kalau-kepepet-ya-terpaksa-ke-pertamina,tribunnews,2025-09-21 21:16:00+07:00,www.tribunnews.com,,fetch_failed,Request failed,True
Amerika Hidupkan Lagi Pangkalan Angkatan Laut Terbesarnya di Halaman Belakang China,,https://www.tribunnews.com/internasional/7731588/amerika-hidupkan-lagi-pangkalan-angkatan-laut-terbesarnya-di-halaman-belakang-china,tribunnews,2025-09-21 18:12:00+07:00,www.tribunnews.com,,fetch_failed,Request failed,True
"Selebritas Dunia Bersuara Bela Palestina, Desak Setop Serangan di GazaLifestyle34 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/lifestyle/20250922131718-33-669082/selebritas-dunia-bersuara-bela-palestina-desak-setop-serangan-di-gaza,cnbc,2025-09-22 00:00:00+07:00,www.cnbcindonesia.com,"Selebritas Dunia Bersuara Bela Palestina, Desak Setop Serangan di Gaza
Jakarta, CNBC Indonesia - Puluhan selebritas dunia menyerukan gencatan senjata di Gaza lewat video kampanye yang dirilis pekan lalu sebelum konser amal ""Together for Palestine"" di London. Konser tersebut bertujuan menggalang jutaan dolar untuk organisasi yang dipimpin masyarakat Palestina, di tengah serangan Israel yang kian meningkat di Jalur Gaza.
Nama-nama besar seperti aktor pemenang Oscar Cillian Murphy hingga penyanyi Billie Eilish ikut mendukung seruan tersebut. Dalam video itu, aktor asal Skotlandia Brian Cox menyampaikan pesan tegas.
""Bersama untuk Palestina. Kita harus menceritakan kebenaran atas nama rakyat Palestina. Ini selalu merupakan tugas artis di masyarakat, untuk berbicara,"" ujar Cox dikutip dari Instagram @t4live pada Senin (22/9/2025).
Ia menambahkan, para seniman harus berani menyuarakan kebenaran di hadapan kekuasaan. Cox juga mengecam para pemimpin negara Barat yang dianggap berkompromi dengan pembunuhan warga sipil di Gaza maupun Tepi Barat.
""Ini penting untuk berbicara sekarang, bukan setelah semuanya selesai. Tekankan pada pemerintah Anda, berikan dukungan kepada mereka yang berkampanye dengan damai. Hentikan pembunuhan,"" ucap artis lainnya.
Pesan berulang ""Untuk Palestina. Bersama untuk Palestina"" menggema sepanjang video, menekankan solidaritas seniman internasional untuk kemerdekaan Palestina.
Hollywood Bersuara Lewat Boikot Industri Film Israel
Dukungan selebritas Hollywood terhadap Palestina juga meluas ke ranah industri film. Lebih dari 4.000 aktor dan sineas, termasuk Javier Bardem, Emma Stone, Joaquin Phoenix, dan Mark Ruffalo, menandatangani seruan boikot terhadap industri film Israel yang didanai negara.
Pada karpet merah Emmy Awards, Bardem tampil mengenakan keffiyeh, simbol dukungan bagi Palestina.
""Hari ini saya mengecam genosida di Gaza. Saya tidak bisa bekerja dengan pihak yang membenarkan atau mendukung genosida,"" kata Bardem kepada Variety dikutip dari NPR.
Selain itu, aktris Hannah Einbinder yang meraih penghargaan Outstanding Supporting Actress lewat serial Hacks menutup pidatonya di panggung Emmy dengan seruan lantang: ""Free Palestine!""
Gerakan boikot ini diorganisir kelompok Film Workers for Palestine, terinspirasi dari kampanye serupa di era 1980-an ketika sineas menolak memutar film di Afrika Selatan semasa apartheid. Namun, aksi ini menuai penolakan dari sejumlah pihak.
Studio Paramount menyebut boikot itu sebagai bentuk pembungkaman kreator berdasarkan kebangsaan yang dinilai tidak membantu proses perdamaian. Sementara pemerintah Israel melalui Menteri Kebudayaan Miki Zohar justru mengancam akan menarik seluruh pendanaan bagi Akademi Film dan Televisi Israel, usai lembaga itu memberikan penghargaan Ophir Award pada film anti-perang The Sea.
PBB melalui komisi penyelidikan baru-baru ini menyimpulkan Israel melakukan genosida di Gaza, meski tuduhan tersebut dibantah pemerintah Israel. Situasi ini semakin mendorong gelombang solidaritas dari kalangan selebritas dan pekerja seni global, yang kini memilih menggunakan suara mereka untuk mendesak diakhirinya perang.
(miq/miq)
[Gambas:Video CNBC]
Next Article Daftar 8 Artis Suarakan Dukungan untuk Palestina di Coachella 2025",ok_trafilatura,,False
"Gunung Marapi Meletus Lagi Minggu Sore, Warga Diminta Jauhi Radius 3 Kilometer",Tidak Diketahui,https://www.liputan6.com/news/read/6164940/gunung-marapi-meletus-lagi-minggu-sore-warga-diminta-jauhi-radius-3-kilometer,liputan6,2025-09-21 17:41:50+07:00,www.liputan6.com,"Liputan6.com, Jakarta - Gunung Marapi yang berada di Kabupaten Agam dan Kabupaten Tanah Datar, Provinsi Sumatera Barat dilaporkan mengalami erupsi pada Minggu (21/9/2025) sore pukul 16.36 WIB. Letusan ini tercatat sebagai erupsi kedua setelah sebelumnya terjadi pada pukul 13.28 WIB.
Gunung Marapi Meletus Lagi, Kolom Abu Membumbung 1.200 Meter ke Langit
Gunung Marapi Meletus Lagi, Kolom Abu Membumbung 1.200 Meter ke Langit
Gunung Marapi Erupsi Setinggi 1.600 Meter, Waspada Radius Bahaya!
Gunung Marapi Erupsi Setinggi 1.600 Meter, Waspada Radius Bahaya!
Gunung Marapi Erupsi Selasa Pagi, Abu Vulkanik Menyembur Setinggi 1.600 Meter
Gunung Marapi Erupsi Selasa Pagi, Abu Vulkanik Menyembur Setinggi 1.600 Meter
""Terjadi erupsi Gunung Marapi di Sumatera Barat pukul 16.36 WIB namun tinggi kolom abu tidak teramati karena tertutup awan,"" kata petugas PGA Gunung Marapi Teguh Purnomo di Padang, seperti dikutip dari Antara .
Berdasarkan data PGA, letusan kedua terekam di seismogram dengan amplitudo maksimum 7,3 milimeter serta berdurasi sekitar 53 detik.
Saat ini, Gunung Marapi masih berstatus Waspada atau Level II. Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG) mengeluarkan sejumlah rekomendasi antara lain melarang masyarakat, wisatawan, atau pengunjung berkegiatan di dalam radius tiga kilometer dari pusat aktivitas (Kawah Verbeek).
PVMBG juga mengingatkan ancaman potensi lahar dingin, terutama bagi masyarakat yang bermukim di sepanjang aliran sungai yang berhulu dari puncak gunung api.
Kondisi tersebut terutama saat terjadi hujan atau musim hujan. Kemudian, apabila terjadi hujan abu masyarakat diimbau menggunakan masker penutup hidung dan mulut guna menghindari gangguan saluran pernapasan.
Tidak hanya itu, apabila terjadi hujan abu masyarakat diimbau untuk menggunakan masker penutup hidung dan mulut untuk menghindari gangguan saluran pernapasan (ISPA).
PGA bersama PVMBG juga terus mengingatkan adanya tumpukan material akibat letusan gunung api tersebut yang menyebabkan munculnya aliran air dan sewaktu-waktu berpotensi terjadinya banjir lahar dingin.
Kondisi tersebut tidak bisa diabaikan karena sangat rentan dan berbahaya terutama saat hujan dengan intensitas tinggi. Hal yang paling mungkin terjadi yakni banjir lahar dingin seperti peristiwa 11 Mei 2024 yang menelan puluhan korban jiwa.",ok_site_specific,,False
"Cegah Keracunan, BGN Latih Ribuan Petugas Penjamah Makanan MBG",Tidak Diketahui,https://news.okezone.com/read/2025/09/22/337/3171636/cegah-keracunan-bgn-latih-ribuan-petugas-penjamah-makanan-mbg,okezone,2025-09-22 13:47:00+07:00,news.okezone.com,"BGN Latih Ribuan Petugas Penjamah Makanan MBG/ist
JAKARTA – Badan Gizi Nasional (BGN) melatih ribuan Petugas Penjamah Pangan pada Dapur Satuan Pemenuhan Pelayanan Gizi (SPPG) untuk mencegah risiko keracunan. Pelatihan dilakukan di enam kabupaten di Sulawesi Barat, yaitu Kabupaten Majene, Mamuju, Mamuju Tengah, Polewali Mandar, Pasangkayu, dan Mamasa.
Kegiatan ini diikuti kurang lebih 3.100 peserta, terdiri atas petugas SPPG serta relawan yang terlibat langsung dalam penyediaan makan bergizi gratis (MBG) di daerah tersebut.
Direktur Penyediaan dan Penyaluran Wilayah 3 BGN, Enny Indarti, mengatakan, pelatihan ini merupakan langkah strategis untuk memperkuat kapasitas petugas penjamah pangan.
“Pelatihan Petugas Penjamah Pangan ini merupakan salah satu upaya Badan Gizi Nasional untuk memberikan pemahaman kepada relawan, ahli gizi, serta petugas mengenai tata kelola penyediaan makanan bergizi gratis di dapur SPPG,” kata Enny Indarti dikutip, Senin (22/9/2025).
Hal ini penting untuk mencegah risiko keracunan maupun kejadian yang tidak diinginkan. Pihaknya menargetkan peningkatan kompetensi petugas SPPG agar dapat memperoleh Sertifikasi Layak Higienis dan penghargaan dari BGN.
“BGN terus berkomitmen memperbaiki tata kelola program Makanan Bergizi Gratis agar tujuan besar mencetak Generasi Emas 2045 dapat tercapai secara optimal,”pungkasnya.
Follow WhatsApp Channel Okezone untuk update berita terbaru setiap hari
Follow
Topik Artikel :
Berita Terkait
Telusuri berita news lainnya
Terpopuler",ok_trafilatura,,False
"Mediasi Eza Gionino-Meiza Aulia Dinyatakan Berhasil Sebagian, Bagaimana Kelanjutan Gugatan Cerai?",,https://www.tribunnews.com/seleb/7731931/mediasi-eza-gionino-meiza-aulia-dinyatakan-berhasil-sebagian-bagaimana-kelanjutan-gugatan-cerai,tribunnews,2025-09-22 15:12:00+07:00,www.tribunnews.com,,fetch_failed,Request failed,True
Segini Biaya Operasional Kader Pengantar MBG untuk Ibu Hamil dan Balita,,https://www.tribunnews.com/nasional/7731961/segini-biaya-operasional-kader-pengantar-mbg-untuk-ibu-hamil-dan-balita,tribunnews,2025-09-22 15:52:00+07:00,www.tribunnews.com,,fetch_failed,Request failed,True
Adu Harga Emas 24 Karat di Semar Nusantara dan Pegadaian Hari Ini 21 September 2025,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164838/adu-harga-emas-24-karat-di-semar-nusantara-dan-pegadaian-hari-ini-21-september-2025,liputan6,2025-09-21 14:30:46+07:00,www.liputan6.com,"Liputan6.com, Jakarta Harga emas 24 karat hari ini, Minggu 21 September 2025, menunjukkan stabilitas di beberapa platform penjualan setelah sebelumnya sempat mengalami fluktuasi. Investor dan masyarakat yang tertarik dengan komoditas logam mulia ini dapat memantau pergerakan harga dari berbagai sumber resmi.
Data terkini menunjukkan bahwa harga emas Antam per gram masih berada di angka Rp 2.122.000, dengan harga jual kembali (buyback) Rp 1.969.000. Sementara itu, harga emas di Semar Nusantara dan Pegadaian juga telah diperbarui, memberikan gambaran komprehensif bagi para pelaku pasar.
Harga Emas 24 Karat Hari Ini 23 September 2025: Antam dan Pegadaian Cetak Rekor Tertinggi
Harga Emas 24 Karat Hari Ini 23 September 2025: Antam dan Pegadaian Cetak Rekor Tertinggi
Daftar Harga Emas 24 Karat Hari Ini 20 September 2025: Semar Nusantara, Antam dan Pegadaian
Daftar Harga Emas 24 Karat Hari Ini 20 September 2025: Semar Nusantara, Antam dan Pegadaian
Harga Emas Antam Hari Ini 20 September 2025 Pecah Rekor Termahal Lagi
Harga Emas Antam Hari Ini 20 September 2025 Pecah Rekor Termahal Lagi
Pergerakan harga emas ini penting untuk diperhatikan mengingat perannya sebagai aset lindung nilai dan investasi jangka panjang. Fluktuasi harga global dan domestik menjadi faktor penentu yang harus dipertimbangkan sebelum melakukan transaksi jual beli.
Daftar Harga Emas 24 Karat di Semar Nusantara
Berikut daftar harga emas 24 karat Semar Nusantara hari ini 20 Agustus 2025:
Emas 1 gram: Rp 2.083.000
Emas 2 gram: Rp 4.082.000
Emas 3 gram: Rp 6.123.000
Emas 5 gram: Rp 10.110.000
Emas 10 gram: Rp 20.030.000
Emas 25 gram: Rp 49.625.000
Emas 50 gram: Rp 99.250.000
Emas 100 gram: Rp 198.500.000
Harga emas Pegadaian hari ini, Minggu 9 September 2025, untuk 3 produk logam mulia yang ditawarkan yakni harga emas UBS, harga emas Galeri24, dan harga emas Antam kompak meroket.
Harga emas Antam meroket menjadi Rp 2.212.000 dari semula Rp 2.178.000 per gram. Begitu pula harga emas Galeri24 turut naik ke angka Rp 2.112.000 dari awalnya dibanderol dengan harga Rp 2.081.000 per gram.
Sementara, harga emas UBS naik menjadi Rp2.142.000 dari awalnya Rp2.126.000 per gram.
Emas Galeri24 dijual dengan kuantitas 0,5 gram hingga 1.000 gram atau 1 kilogram. Sementara emas UBS dijual dengan kuantitas 0,5 gram hingga 500 gram.
Berikut daftar lengkap harga emas di Pegadaian hari ini Minggu (21/9/2025):
Harga Emas Antam
‎- Harga emas Antam 0,5 gram: Rp1.158.0000
‎- Harga emas Antam 1 gram: Rp2.212.000
‎- Harga emas Antam 2 gram: Rp4.360.000
‎- Harga emas Antam 3 gram : Rp6.514.000
‎- Harga emas Antam 5 gram: Rp10.822.000
‎- Harga emas Antam 10 gram: Rp21.586.000
‎- Harga emas Antam 25 gram: Rp53.832.000
‎- Harga emas Antam 50 gram: Rp107.582.000
‎- Harga emas Antam 100 gram: Rp215.082.000
‎- Harga emas Antam 250 gram: Rp537.428.000
‎- Harga emas Antam 500 gram: Rp1.074.636.000
‎- Harga emas Antam 1.000 gram: Rp2.149.230.000.
Harga Emas UBS
‎- Harga emas UBS 0,5 gram: Rp1.159.000
‎- Harga emas UBS 1 gram: Rp2.142.000
‎- Harga emas UBS 2 gram: Rp4.251.000
‎- Harga emas UBS 5 gram: Rp10.503.000
‎- Harga emas UBS 10 gram: Rp20.894.000
‎- Harga emas UBS 25 gram: Rp52.133.000
‎- Harga emas UBS 50 gram: Rp104.051.000
‎- Harga emas UBS 100 gram: Rp208.019.000
‎- Harga emas UBS 250 gram: Rp519.894.000
‎- Harga emas UBS 500 gram: Rp1.038.562.000
Harga Emas Galeri24
‎- Harga emas Galeri24 0,5 gram: Rp1.107.000
‎- Harga emas Galeri24 1 gram: Rp2.112.000.
‎- Harga emas Galeri24 2 gram: Rp4.160.000
‎- Harga emas Galeri24 5 gram: Rp10.321.000
‎- Harga emas Galeri24 10 gram: Rp20.588.000
‎- Harga emas Galeri24 25 gram: Rp51.342.000
‎- Harga emas Galeri24 50 gram: Rp102.601.000
‎- Harga emas Galeri24 100 gram: Rp205.101.000
‎- Harga emas Galeri24 250 gram: Rp512.497.000
‎- Harga emas Galeri24 500 gram: Rp1.024.489.000
‎- Harga emas Galeri24 1.000 gram: Rp2.048.978.000.",ok_site_specific,,False
Tim Independen LNHAM akan Gali Keterangan Polisi Hingga Keluarga Korban Terkait Demo Agustus,,https://www.tribunnews.com/nasional/7731582/tim-independen-lnham-akan-gali-keterangan-polisi-hingga-keluarga-korban-terkait-demo-agustus,tribunnews,2025-09-21 17:51:00+07:00,www.tribunnews.com,,fetch_failed,Request failed,True
"Purbaya Pede Ekonomi Kuat: Kemarin Kita Takut, Sekarang Harus BeraniNews1 jam yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922140931-4-669118/purbaya-pede-ekonomi-kuat-kemarin-kita-takut-sekarang-harus-berani,cnbc,2025-09-22 00:00:00+07:00,www.cnbcindonesia.com,"Purbaya Pede Ekonomi Kuat: Kemarin Kita Takut, Sekarang Harus Berani
Jakarta, CNBC Indonesia - Prospek ekonomi Indonesia makin baik karena kombinasi antara kembalinya investor asing ke tanah air di tengah perekonomian domestik yang kuat dan stabil.
Menteri Keuangan Purbaya Yudhi Sadewa menyatakan ekonomi global kini makin stabil, antara lain didorong oleh ekspansi bisnis di Amerika Serikat. Hal ini mendorong dana mulai mengalir ke pasar-pasar di seluruh dunia, termasuk Indonesia.
""Globalnya enggak jelek-jelek amat. Jadi kita tinggal fokus jaga domestiknya seperti apa,"" katanya dalam paparan APBN Kita, Senin (22/9/2025). Jadi kalau kemarin-kemarin kita takut, sekarang harusnya berani, apalagi domestik kita kuat.""
Kekuatan ekonomi domestik, jelasnya, ditandai oleh inflasi yang stabil di level 2,31 persen. Tingkat inflasi itu ada di kisaran level inflasi yang baik yaitu di antara 1% dan 3%.
Dia menjelaskan inflasi Indonesia rendah dibandingkan dengan negara-negara lain, tetapi juga tidak terlalu rendah yang menandakan permintaan domestik yang lesu.""
""Singapura 0,6 persen itu jelek karena demandnya rendah. Malaysia 1,2 persen, agak jelek. Kita lumayan lah, ideal kalau bisa dijaga 2% sampai 3% bagus sekali untuk ekonomi kita,"" katanya.
Purbaya menjelaskan hal ini tecermin dalam data pertumbuhan ekonomi kuartal II/2025.
""Ini padahal pertumbuhan uangnya memang kencang, jadi konsumen kuat. Jadi digenjot uang sampai April. Mei, Juni, Juli habis, jadi ke bawah, sehingga uang melambat,"" katanya.
Indikator lainnya adalah aktivitas manufaktur yang kembali ke level ekspansi, keyakinan konsumen yang kembali optimistis, penjualan ritel yang tumbuh positif, dan penjualan semen menunjukkan tanda perbaikan dalam 2 bulan terakhir.
""PMI naik, tingkat keyakinan konsumen masih positif, tetapi ada penurunan signifikan di Agustus. Tapi ini karena ada kebijakan kemarin yang memperlambat ekonomi, sehingga kalau sekarang diubah seharusnya menjadi lebih cepat,"" kata Purbaya.
(dem/dem)
[Gambas:Video CNBC]
Next Article Video: BI Optimistis Pertumbuhan Ekonomi RI H2-2025 Jauh Lebih Tinggi",ok_trafilatura,,False
