judul_berita,penulis_berita,url_berita,media_online,tanggal_berita_dt,top_keyword,lex_match,fuzz_score,embed_sim,relevance_score,is_relevant
Bos BSI Buka Suara Soal Titipan Dana Rp10 Triliun dari Menkeu Purbaya,Trio Hamdani,https://www.idntimes.com/business/economy/bos-bsi-buka-suara-soal-titipan-dana-rp10-triliun-dari-menkeu-purbaya-00-bvq5c-wn60ws,idn_times,2025-09-22 15:30:00+07:00,suntikan dana rp200 triliun,0.0,0.479,0.799,0.623,True
"Menkeu Purbaya: APBN Agustus 2025 Defisit Rp 321,6 Triliun",,https://www.tribunnews.com/bisnis/7731942/menkeu-purbaya-apbn-agustus-2025-defisit-rp-3216-triliun,tribunnews,2025-09-22 15:22:00+07:00,suntikan dana rp200 triliun,0.0,0.424,0.803,0.609,True
"Purbaya Laporkan Defisit APBN Rp 321,6 T di Akhir Agustus 2025News1 jam yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922144808-4-669128/purbaya-laporkan-defisit-apbn-rp-3216-t-di-akhir-agustus-2025,cnbc,2025-09-22 00:00:00+07:00,defisit apbn,1.0,0.258,0.679,0.585,True
"BRI Salurkan KPR Subsidi Rp14,65 Triliun, Dukung Program Tiga Juta Rumah dan Asta Cita Pem...",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164785/bri-salurkan-kpr-subsidi-rp1465-triliun-dukung-program-tiga-juta-rumah-dan-asta-cita-pemerintah,liputan6,2025-09-21 12:36:04+07:00,suntikan dana rp200 triliun,0.0,0.283,0.8,0.565,True
"200 Orang Tunggak Pajak Rp 60 Triliun, Purbaya: Mereka Tak Bisa Lari!News28 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922151312-4-669149/200-orang-tunggak-pajak-rp-60-triliun-purbaya-mereka-tak-bisa-lari,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.288,0.796,0.564,True
"Bursa CFX Raup Transaksi Derivatif Kripto Rp73,8 Triliun, Dominasi Pasar Kian Kuat",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165291/bursa-cfx-raup-transaksi-derivatif-kripto-rp738-triliun-dominasi-pasar-kian-kuat,liputan6,2025-09-22 11:02:35+07:00,suntikan dana rp200 triliun,0.0,0.33,0.769,0.56,True
"Dapat Suntikan Rp 10 T dari Purbaya, Ini Respons Bos BSI (BRIS)Market4 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/market/20250922154251-17-669160/dapat-suntikan-rp-10-t-dari-purbaya-ini-respons-bos-bsi--bris-,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.319,0.764,0.554,True
"Serap Investasi Rp 6,5 Triliun, KEK Sei Mangkei Kini Jadi Pusat Hilirisasi Sawit",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164782/serap-investasi-rp-65-triliun-kek-sei-mangkei-kini-jadi-pusat-hilirisasi-sawit,liputan6,2025-09-21 12:30:46+07:00,suntikan dana rp200 triliun,0.0,0.299,0.764,0.548,False
"BRI Optimistis Perluas Akses Hunian, Salurkan KPR Subsidi Rp14,65 Triliun hingga Agustus 2...",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164790/bri-optimistis-perluas-akses-hunian-salurkan-kpr-subsidi-rp1465-triliun-hingga-agustus-2025,liputan6,2025-09-21 13:00:00+07:00,suntikan dana rp200 triliun,0.0,0.3,0.759,0.545,False
"Dukung Iklim Investasi, Kemnaker Terus Tingkatkan Layanan Perizinan TKA",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165513/dukung-iklim-investasi-kemnaker-terus-tingkatkan-layanan-perizinan-tka,liputan6,2025-09-22 14:53:01+07:00,suntikan dana rp200 triliun,0.0,0.347,0.728,0.541,False
Kemenkeu Catat Setoran Pajak RI Tembus Rp1.135 T per Agustus 2025News12 menit yang lalu,Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922153756-4-669155/kemenkeu-catat-setoran-pajak-ri-tembus-rp1135-t-per-agustus-2025,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.246,0.776,0.539,False
